obj_GigabyteGVNX72G512E27200GS256MBDDR2PCIExpress;red;GigabyteGVNX72G512E27200GS256MBDDR2PCIExpress
obj_GigabyteGVNX84S512H8400GS512MBDDR2PCIExpress;green;GigabyteGVNX84S512H8400GS512MBDDR2PCIExpress
obj_MSINX8600GTTD256ED2256MBDDR2PCIExpress;green;MSINX8600GTTD256ED2256MBDDR2PCIExpress
obj_ASUSGeForceENGTS250HTDI512MD3512MBDDR3PCIExpress;red;ASUSGeForceENGTS250HTDI512MD3512MBDDR3PCIExpress
obj_80GBSamsungHD082GJSATAII8MBcachewinchester;red;80GBSamsungHD082GJSATAII8MBcachewinchester
obj_250GBSamsungHD250HJSATAII8MBcachewinchester;blue;250GBSamsungHD250HJSATAII8MBcachewinchester
obj_160GBHitachi7200rpmSATAII8MBcachewinchesterHDP721016SLA380;green;160GBHitachi7200rpmSATAII8MBcachewinchesterHDP721016SLA380
obj_160GBSamsungHD161HJSATAII8MBcachewinchester;green;160GBSamsungHD161HJSATAII8MBcachewinchester
obj_320GBWDWD3200AAJSSATAII8MBcachewinchester;red;320GBWDWD3200AAJSSATAII8MBcachewinchester
obj_320GBWDCaviarBlueWD3200AAKS7200rpmSATAII16MBcachewinchester;red;320GBWDCaviarBlueWD3200AAKS7200rpmSATAII16MBcachewinchester
obj_300GBWDWD3000HLFSRaptorSATAII16MBcachewinchester;green;300GBWDWD3000HLFSRaptorSATAII16MBcachewinchester
obj_SamsungSHS223LBEWESATADVDiroOEM;green;SamsungSHS223LBEWESATADVDiroOEM
obj_LGGH22LP20IDEDVDirofeketedobozos;green;LGGH22LP20IDEDVDirofeketedobozos
obj_SamsungSHD162DBEBEDVDROMfeketeOEM;blue;SamsungSHD162DBEBEDVDROMfeketeOEM
obj_LGDH16NS10RBBBSATADVDolvasofeketeOEM;green;LGDH16NS10RBBBSATADVDolvasofeketeOEM
obj_19LGM197WDPPZLCDmonitorfeketeMPEG4;red;19LGM197WDPPZLCDmonitorfeketeMPEG4
obj_20LGW2043TPFLCDmonitorfekete;red;20LGW2043TPFLCDmonitorfekete
obj_20SamsungP2050LCDmonitorfekete;blue;20SamsungP2050LCDmonitorfekete
obj_20Samsung2033HDmonitorMPEG4;green;20Samsung2033HDmonitorMPEG4
obj_20SamsungT200HDVELCDWidemonitorfeketeMPEG4;blue;20SamsungT200HDVELCDWidemonitorfeketeMPEG4
obj_22BenQE2200HDALCDmonitor;blue;22BenQE2200HDALCDmonitor
obj_22LGW2241SBFLCDmonitorfekete;blue;22LGW2241SBFLCDmonitorfekete
obj_22SamsungLD220LCDmonitorfekete;blue;22SamsungLD220LCDmonitorfekete
obj_22ASUSVW223BLCDmonitor;blue;22ASUSVW223BLCDmonitor
obj_22ASUSPG221LCDmonitorfekete;green;22ASUSPG221LCDmonitorfekete
obj_24Samsung2443NWLCDmonitorfekete;green;24Samsung2443NWLCDmonitorfekete
obj_26Samsung2693HMLCDmonitorfekete;red;26Samsung2693HMLCDmonitorfekete
obj_ASUSP5QPLAMalaplapLGA775DDR2;blue;ASUSP5QPLAMalaplapLGA775DDR2
obj_ASRockM3A790GXH128MalaplapAM3DDR3;blue;ASRockM3A790GXH128MalaplapAM3DDR3
obj_AMDPhenomIIX2550dobozosSocketAM3BlackEdition;green;AMDPhenomIIX2550dobozosSocketAM3BlackEdition
obj_IntelCore2Quad266GHzdobozosSocket775Q8400;red;IntelCore2Quad266GHzdobozosSocket775Q8400
obj_1GB800MHzDDR2RAMKingstonHyperXKHX6400D21GCL5;blue;1GB800MHzDDR2RAMKingstonHyperXKHX6400D21GCL5
